Price,Close,High,Low,Open,Volume
Ticker,DB,DB,DB,DB,DB
Date,,,,,
2018-01-02,16.866779327392578,16.866779327392578,16.71844234944084,16.814425589378825,2307400
2018-01-03,16.718442916870117,16.762070755979767,16.57883183456478,16.657363276398456,4235000
2018-01-04,17.250707626342773,17.26815942408103,17.119822471895922,17.119822471895922,4409500
2018-01-05,16.186172485351562,16.92785730222187,16.14254465201014,16.875503569353132,16517400
2018-01-08,15.968031883239746,16.072741025686806,15.941855845849501,15.99420958492535,5030700
2018-01-09,15.819696426391602,15.845874130599237,15.680085332541914,15.697537135347003,4691700
2018-01-10,16.142545700073242,16.273430872890458,16.08146606371156,16.142545700073242,4391000
2018-01-11,16.194900512695312,16.273431954464094,16.09019303320052,16.168724474969306,3280200
2018-01-12,16.317060470581055,16.317060470581055,16.125093995963102,16.16872349669231,4427200
2018-01-16,16.15127182006836,16.36068843228619,16.081466282662415,16.36068843228619,3107400
2018-01-17,16.159997940063477,16.238529378750133,15.968031461364845,16.159997940063477,2585000
2018-01-18,16.168724060058594,16.290883337766207,16.159998159608715,16.28215743731633,1964600
2018-01-19,16.38686752319336,16.40431766080385,16.21235283272495,16.273432475100265,2981300
2018-01-22,16.91913414001465,16.927860040953714,16.762071251702313,16.831878459214845,7125100
2018-01-23,16.98893928527832,17.032568788951664,16.892957705787747,16.980213384543653,2753000
2018-01-24,17.22453498840332,17.43395162988079,17.07619799265317,17.390323787017138,4057200
2018-01-25,17.13727569580078,17.390321815753623,17.076196056997084,17.372870014868187,3504400
2018-01-26,17.023841857910156,17.084921495060822,16.971488120966058,17.058743794441128,2386200
2018-01-29,16.666086196899414,16.831874951601915,16.631182600416746,16.82314905248125,3576000
2018-01-30,16.037837982177734,16.33451195443557,15.985484241277945,16.31706181699925,5353600
2018-01-31,16.002933502197266,16.142544565294035,15.976755803755939,16.098916732186975,2887000
2018-02-01,16.27342987060547,16.27342987060547,15.985481842424285,16.011659541093543,3088500
2018-02-02,14.912223815917969,15.479394073685167,14.859870073555195,15.4357662324321,15244400
