,0
Cumulative return,39.73%
Annualized return,5.82%
Mean return,0.02%
Period volatility,0.97%
Annual volatility,15.46%
Winrate,5.03%
Sharpe Ratio,0.3766
Max Drawdown,-34.52%
Sortino,0.2005
Calmar,0.1686
Historic VaR,-0.01%
Conditional Historic VaR,-1.88%
