,0
Cumulative return,370.33%
Annualized return,29.44%
Mean return,2.15%
Period volatility,7.98%
Annual volatility,27.63%
Winrate,45.83%
Sharpe Ratio,1.0655
Max Drawdown,-38.12%
Sortino,1.0623
Calmar,0.7722
Historic VaR,-7.44%
Conditional Historic VaR,-16.42%
