,0
Cumulative return,161.65%
Annualized return,17.66%
Mean return,0.06%
Period volatility,2.83%
Annual volatility,44.88%
Winrate,51.28%
Sharpe Ratio,0.3936
Max Drawdown,-75.95%
Sortino,0.4594
Calmar,0.2326
Historic VaR,-3.76%
Conditional Historic VaR,-6.32%
