,0
Cumulative return,172.24%
Annualized return,18.46%
Mean return,0.07%
Period volatility,2.16%
Annual volatility,34.34%
Winrate,38.05%
Sharpe Ratio,0.5376
Max Drawdown,-48.00%
Sortino,0.6093
Calmar,0.3846
Historic VaR,-2.93%
Conditional Historic VaR,-4.99%
